Customer,Contract Type,Start Date,End Date,Days Until Expiry,Status,Monthly Value
City of Freeport,Managed Services,2025-04-10,2026-04-10,143,active,$3,500
City of Freeport,Voice Services,2025-04-10,2026-04-10,143,active,$1,200
7 Brew Daphne,Managed Services,2024-01-30,2025-01-30,-292,active,$800
FirstFour Staffing,Managed Services,2024-06-27,2025-06-27,-144,active,$2,000
DC Lawn,Managed Services,2024-10-17,2025-10-17,-32,active,$500
