"FullName","DirectoryName","Name","Size(KB)","Size(MB)","LastWriteTime","CreationTime"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\EF KRISTA - PERMITS & CODES ARE CLEAR.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","EF KRISTA - PERMITS & CODES ARE CLEAR.msg","329.5","0.32","11/21/2025 12:23:28 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\DFS-25-1505 LIEN INVOICE.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","DFS-25-1505 LIEN INVOICE.pdf","249.71","0.24","11/21/2025 12:23:25 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\DFS-25-1505 LIEN DOCS.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","DFS-25-1505 LIEN DOCS.pdf","363.25","0.35","11/21/2025 12:23:22 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\DFS-25-1505 FINAL REPORT.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","DFS-25-1505 FINAL REPORT.pdf","424.33","0.41","11/21/2025 12:23:19 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\TC Invoice - 160 Le Conte Street.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","TC Invoice - 160 Le Conte Street.pdf","98.87","0.1","11/21/2025 12:23:17 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\RUSH - LIEN SEARCH REQUEST  DFS-25-1505.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","RUSH - LIEN SEARCH REQUEST  DFS-25-1505.msg","1012","0.99","11/21/2025 12:23:14 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\LIEN SEARCH CONFIRMATION.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","LIEN SEARCH CONFIRMATION.msg","305","0.3","11/21/2025 12:23:11 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\existing survey.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","existing survey.pdf","3280.03","3.2","11/21/2025 12:23:08 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES\ETUW FOR SURVEY REVIEW..msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SERVICES","ETUW FOR SURVEY REVIEW..msg","900","0.88","11/21/2025 12:23:03 PM","11/21/2025 6:21:54 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","SELLER.zip","2123.46","2.07","11/21/2025 12:23:00 PM","11/21/2025 12:22:47 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\etla - lien search.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","etla - lien search.msg","721","0.7","11/21/2025 12:22:32 PM","11/21/2025 6:21:24 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\ETLA - ALTA REVIEW..msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","ETLA - ALTA REVIEW..msg","274.5","0.27","11/21/2025 12:22:27 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\EFLA - ALTA GOOD..msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","EFLA - ALTA GOOD..msg","303","0.3","11/21/2025 12:22:19 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Delivery of Sales Proceeds - SETCO.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Delivery of Sales Proceeds - SETCO.docx","10.8","0.01","11/21/2025 12:22:16 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Certificate of Non-Foreign Status - Robin P. Gunson.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Certificate of Non-Foreign Status - Robin P. Gunson.docx","15.46","0.02","11/21/2025 12:22:13 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Substitute Form 1099-S (Information for Filing).docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Substitute Form 1099-S (Information for Filing).docx","15.69","0.02","11/21/2025 12:22:11 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\SETCO Warranty Deed - FL Non-Homestead.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","SETCO Warranty Deed - FL Non-Homestead.docx","22.42","0.02","11/21/2025 12:22:09 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\SETCO Survey Affidavit - Seller.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","SETCO Survey Affidavit - Seller.docx","20.42","0.02","11/21/2025 12:22:07 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\SETCO Closing Statement Addendum - Seller.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","SETCO Closing Statement Addendum - Seller.docx","15.61","0.02","11/21/2025 12:22:05 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\SETCO Affidavit As To Debts, Liens, and Possession (Seller).docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","SETCO Affidavit As To Debts, Liens, and Possession (Seller).docx","16.7","0.02","11/21/2025 12:22:03 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Seller's Address Statement - SETCO.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Seller's Address Statement - SETCO.docx","10.39","0.01","11/21/2025 12:22:01 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Privacy Policy - SETCO Seller.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Privacy Policy - SETCO Seller.docx","27.99","0.03","11/21/2025 12:21:59 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Notice of Possible Eligibility for Lower Reissue Rate - SETCO - Seller.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Notice of Possible Eligibility for Lower Reissue Rate - SETCO - Seller.docx","18.69","0.02","11/21/2025 12:21:56 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Limited Power of Attorney (For Correcting Typographical Errors) - SETCO - Seller.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Limited Power of Attorney (For Correcting Typographical Errors) - SETCO - Seller.docx","11.65","0.01","11/21/2025 12:21:54 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\KCO Charity Form.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","KCO Charity Form.pdf","747.72","0.73","11/21/2025 12:21:52 PM","11/21/2025 6:21:24 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\Exhibit A - SETCO - Seller.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","Exhibit A - SETCO - Seller.docx","14.41","0.01","11/21/2025 12:21:49 PM","11/21/2025 6:21:22 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER\ETS WITH ALTA - REQUEST TO SCHEDULE.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\SELLER","ETS WITH ALTA - REQUEST TO SCHEDULE.msg","314","0.31","11/21/2025 12:21:46 PM","11/21/2025 6:21:22 PM"
