"FullName","DirectoryName","Name","Size(KB)","Size(MB)","LastWriteTime","CreationTime"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\etb with clear lien search.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","etb with clear lien search.msg","552.5","0.54","11/21/2025 12:14:55 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\ETB & BA WITH SURVEY.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","ETB & BA WITH SURVEY.msg","3522.5","3.44","11/21/2025 12:14:52 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\DeFuniak Springs Wiring Instructions.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","DeFuniak Springs Wiring Instructions.docx","96.51","0.09","11/21/2025 12:14:48 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\ALTA Combined Settlement Statement.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","ALTA Combined Settlement Statement.pdf","42.47","0.04","11/21/2025 12:14:45 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\SETCO Warranty Deed - Buyer - E-Sign.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","SETCO Warranty Deed - Buyer - E-Sign.docx","12.85","0.01","11/21/2025 12:14:43 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\SETCO Survey Affidavit - E-sign - Buyer.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","SETCO Survey Affidavit - E-sign - Buyer.docx","20.14","0.02","11/21/2025 12:14:40 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\SETCO Notice of Availability of Owner's Title Insurance.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","SETCO Notice of Availability of Owner's Title Insurance.docx","11.84","0.01","11/21/2025 12:14:38 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\SETCO Limited Power of Attorney (For Correcting Typographical Errors) - Buyer - E-sign.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","SETCO Limited Power of Attorney (For Correcting Typographical Errors) - Buyer - E-sign.docx","11.43","0.01","11/21/2025 12:14:36 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\SETCO Closing Statement Addendum - Buyer.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","SETCO Closing Statement Addendum - Buyer.docx","15.61","0.02","11/21/2025 12:14:33 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\SETCO Closing Affidavit (Buyer) - E-sign.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","SETCO Closing Affidavit (Buyer) - E-sign.docx","20.27","0.02","11/21/2025 12:14:31 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\Privacy Policy - SETCO Buyer.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","Privacy Policy - SETCO Buyer.docx","27.94","0.03","11/21/2025 12:14:28 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\Notice of Possible Eligibility for Lower Reissue Rate - SETCO - Buyer.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","Notice of Possible Eligibility for Lower Reissue Rate - SETCO - Buyer.docx","18.77","0.02","11/21/2025 12:14:25 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\Fillable Buyer's Address Statement - SETCO.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","Fillable Buyer's Address Statement - SETCO.docx","12.39","0.01","11/21/2025 12:14:22 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\existing survey (79).pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","existing survey (79).pdf","3280.03","3.2","11/21/2025 12:14:20 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER\Exhibit A - SETCO - Buyer.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\BUYER","Exhibit A - SETCO - Buyer.docx","14.45","0.01","11/21/2025 12:14:16 PM","11/21/2025 6:13:38 PM"
"F:\HomeDirs\PJarvis\2025 FOT\FPL debit 12-4-25 FOT.pdf","F:\HomeDirs\PJarvis\2025 FOT","FPL debit 12-4-25 FOT.pdf","554.96","0.54","11/21/2025 11:53:54 AM","11/21/2025 11:54:16 AM"
"F:\Qbooks\Stephanie Brannon 2023.QBW","F:\Qbooks","Stephanie Brannon 2023.QBW","71232","69.56","11/21/2025 11:38:40 AM","11/28/2022 10:08:32 AM"
"F:\Qbooks\Stephanie Brannon 2023.QBW.TLG","F:\Qbooks","Stephanie Brannon 2023.QBW.TLG","105984","103.5","11/21/2025 11:38:40 AM","11/28/2022 10:10:20 AM"
"F:\Qbooks\Stephanie Brannon 2023.QBW.ND","F:\Qbooks","Stephanie Brannon 2023.QBW.ND","0.39","0","11/21/2025 11:38:35 AM","11/28/2022 10:12:51 AM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PCB-25-6839 - F-Owner Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PCB-25-6839 - F-Owner Policy.pdf","277.48","0.27","11/21/2025 11:32:01 AM","11/21/2025 11:32:01 AM"
"F:\HomeDirs\PJarvis\2025 S Brannon\Nov\ck 3345 Rhonda Skipper.pdf","F:\HomeDirs\PJarvis\2025 S Brannon\Nov","ck 3345 Rhonda Skipper.pdf","1564.57","1.53","11/21/2025 11:17:56 AM","11/21/2025 11:18:25 AM"
"F:\HomeDirs\PJarvis\2025 Setco\L-Z\ck 10133 Walton Co Tax Collector.pdf","F:\HomeDirs\PJarvis\2025 Setco\L-Z","ck 10133 Walton Co Tax Collector.pdf","1044.65","1.02","11/21/2025 11:17:26 AM","11/21/2025 11:17:43 AM"
"F:\HomeDirs\PJarvis\2025 Setco\L-Z\ck 10314 Okaloosa Co Tax Collector.pdf","F:\HomeDirs\PJarvis\2025 Setco\L-Z","ck 10314 Okaloosa Co Tax Collector.pdf","1216.19","1.19","11/21/2025 11:16:49 AM","11/21/2025 11:17:12 AM"
"F:\HomeDirs\PJarvis\2025 Harper Jane\ck 1219 Gulf County Tax Collector.pdf","F:\HomeDirs\PJarvis\2025 Harper Jane","ck 1219 Gulf County Tax Collector.pdf","803.04","0.78","11/21/2025 11:16:09 AM","11/21/2025 11:16:22 AM"
"F:\HomeDirs\PJarvis\2025 Harper Jane\ck 1216 Stan Nichols.pdf","F:\HomeDirs\PJarvis\2025 Harper Jane","ck 1216 Stan Nichols.pdf","733.07","0.72","11/21/2025 11:15:28 AM","11/21/2025 11:15:45 AM"
"F:\HomeDirs\PJarvis\2025 Harper Jane\ck 1217 Rhonda Skipper.pdf","F:\HomeDirs\PJarvis\2025 Harper Jane","ck 1217 Rhonda Skipper.pdf","1767.38","1.73","11/21/2025 11:14:52 AM","11/21/2025 11:15:15 AM"
"F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov\ck 2792 Victor DeSantis.pdf","F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov","ck 2792 Victor DeSantis.pdf","595.57","0.58","11/21/2025 11:14:12 AM","11/21/2025 11:14:33 AM"
"F:\HomeDirs\aderoche\Templates\Loan Mailout Process.docx","F:\HomeDirs\aderoche\Templates","Loan Mailout Process.docx","15.35","0.01","11/21/2025 11:03:51 AM","9/2/2025 4:15:02 PM"
"F:\Qbooks\QuickBooksAutoDataRecovery\Southern Comfort Services 2023, LLC.QBW.ADR.old","F:\Qbooks\QuickBooksAutoDataRecovery","Southern Comfort Services 2023, LLC.QBW.ADR.old","98140","95.84","11/21/2025 10:05:06 AM","11/21/2025 10:03:53 AM"
"F:\Qbooks\QuickBooksAutoDataRecovery\Southern Comfort Services 2023, LLC.QBW.TLG.ADR.old","F:\Qbooks\QuickBooksAutoDataRecovery","Southern Comfort Services 2023, LLC.QBW.TLG.ADR.old","176448","172.31","11/21/2025 10:05:03 AM","11/21/2025 10:03:53 AM"
"F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia\PCB-25-6681 - F-Owner Policy.pdf","F:\PostClosing\Fidelity Files\Qualia Policies\November 2025 - Qualia","PCB-25-6681 - F-Owner Policy.pdf","228.25","0.22","11/21/2025 10:03:14 AM","11/21/2025 10:03:13 AM"
"F:\HomeDirs\kcouvillion\Personal\Pics\2025\IMG_2638.jpg","F:\HomeDirs\kcouvillion\Personal\Pics\2025","IMG_2638.jpg","1317.34","1.29","11/21/2025 9:47:27 AM","11/21/2025 3:44:54 PM"
"F:\HomeDirs\kcouvillion\Personal\Pics\2025\IMG_3029.jpg","F:\HomeDirs\kcouvillion\Personal\Pics\2025","IMG_3029.jpg","1165.3","1.14","11/21/2025 9:46:43 AM","11/21/2025 3:45:36 PM"
"F:\HomeDirs\PJarvis\2025 S Brannon\Nov\3344-Judd Jackson.msg","F:\HomeDirs\PJarvis\2025 S Brannon\Nov","3344-Judd Jackson.msg","232","0.23","11/21/2025 9:23:57 AM","11/21/2025 9:23:56 AM"
"F:\HomeDirs\PJarvis\2025 Harper Jane\1215-Judd Jackson.msg","F:\HomeDirs\PJarvis\2025 Harper Jane","1215-Judd Jackson.msg","328","0.32","11/21/2025 9:23:43 AM","11/21/2025 9:23:41 AM"
"F:\HomeDirs\PJarvis\2025 Setco Holdings\Nov\1095-Judd Jackson.msg","F:\HomeDirs\PJarvis\2025 Setco Holdings\Nov","1095-Judd Jackson.msg","324","0.32","11/21/2025 9:23:27 AM","11/21/2025 9:23:25 AM"
"F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov\2790-Judd Jackson.msg","F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov","2790-Judd Jackson.msg","255.5","0.25","11/21/2025 9:22:51 AM","11/21/2025 9:22:49 AM"
"F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov\2791-AT&T.msg","F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov","2791-AT&T.msg","967","0.94","11/21/2025 9:22:45 AM","11/21/2025 9:22:42 AM"
"F:\HomeDirs\PJarvis\2025 Setco\HNWS\10136-Holley-Navarre.msg","F:\HomeDirs\PJarvis\2025 Setco\HNWS","10136-Holley-Navarre.msg","380","0.37","11/21/2025 9:22:30 AM","11/21/2025 9:22:28 AM"
"F:\HomeDirs\PJarvis\2025 Setco\A-K\10132-Jefco.msg","F:\HomeDirs\PJarvis\2025 Setco\A-K","10132-Jefco.msg","462.5","0.45","11/21/2025 9:22:18 AM","11/21/2025 9:22:16 AM"
"F:\HomeDirs\PJarvis\2025 S Brannon\Nov\3350-Bank of America.msg","F:\HomeDirs\PJarvis\2025 S Brannon\Nov","3350-Bank of America.msg","772.5","0.75","11/21/2025 9:22:00 AM","11/21/2025 9:21:58 AM"
"F:\HomeDirs\PJarvis\2025 S Brannon\Nov\3347-Trugreen.msg","F:\HomeDirs\PJarvis\2025 S Brannon\Nov","3347-Trugreen.msg","524.5","0.51","11/21/2025 9:21:57 AM","11/21/2025 9:21:55 AM"
"F:\HomeDirs\PJarvis\2025 S Brannon\Nov\3346-Bryan Pest Control.msg","F:\HomeDirs\PJarvis\2025 S Brannon\Nov","3346-Bryan Pest Control.msg","422","0.41","11/21/2025 9:21:54 AM","11/21/2025 9:21:52 AM"
"F:\Qbooks\Southern Comfort Services 2023, LLC.QBW.ND","F:\Qbooks","Southern Comfort Services 2023, LLC.QBW.ND","0.4","0","11/21/2025 9:06:03 AM","11/28/2022 10:19:12 AM"
"F:\Qbooks\Catherine and George Brannon 2023.QBW","F:\Qbooks","Catherine and George Brannon 2023.QBW","90828","88.7","11/21/2025 9:02:18 AM","11/28/2022 9:51:46 AM"
"F:\Qbooks\Catherine and George Brannon 2023.QBW.TLG","F:\Qbooks","Catherine and George Brannon 2023.QBW.TLG","118592","115.81","11/21/2025 9:02:18 AM","11/28/2022 9:54:01 AM"
"F:\Qbooks\QuickBooksAutoDataRecovery\Catherine and George Brannon 2023.QBW.TLG.ADR","F:\Qbooks\QuickBooksAutoDataRecovery","Catherine and George Brannon 2023.QBW.TLG.ADR","118360","115.59","11/21/2025 9:02:15 AM","11/21/2025 9:01:24 AM"
"F:\Qbooks\QuickBooksAutoDataRecovery\Catherine and George Brannon 2023.QBW.ADR","F:\Qbooks\QuickBooksAutoDataRecovery","Catherine and George Brannon 2023.QBW.ADR","90372","88.25","11/21/2025 9:02:15 AM","11/21/2025 9:01:24 AM"
"F:\HomeDirs\PJarvis\2025 C Brannon\Nov\Chelco debit 11-21-25.pdf","F:\HomeDirs\PJarvis\2025 C Brannon\Nov","Chelco debit 11-21-25.pdf","603.4","0.59","11/21/2025 8:57:48 AM","11/21/2025 8:58:08 AM"
"F:\Qbooks\Catherine and George Brannon 2023.QBW.ND","F:\Qbooks","Catherine and George Brannon 2023.QBW.ND","0.4","0","11/21/2025 8:51:57 AM","11/28/2022 9:54:43 AM"
"F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov\Soco amex debit 11-20-25.pdf","F:\HomeDirs\PJarvis\2025 Southern Comfort\Nov","Soco amex debit 11-20-25.pdf","2885.14","2.82","11/21/2025 8:48:14 AM","11/21/2025 8:48:35 AM"
"F:\Qbooks\Setco Holdings, Inc..qbw.ND","F:\Qbooks","Setco Holdings, Inc..qbw.ND","0.36","0","11/21/2025 8:41:56 AM","1/10/2024 10:14:29 AM"
"F:\Qbooks\Setco Holdings, Inc..qbw","F:\Qbooks","Setco Holdings, Inc..qbw","17268","16.86","11/21/2025 8:41:41 AM","1/10/2024 10:14:26 AM"
"F:\Qbooks\Setco Holdings, Inc..qbw.TLG","F:\Qbooks","Setco Holdings, Inc..qbw.TLG","38976","38.06","11/21/2025 8:41:41 AM","1/10/2024 10:14:29 AM"
"F:\HomeDirs\PJarvis\2025 S Brannon\Nov\Steph amex debit 11-20-25.pdf","F:\HomeDirs\PJarvis\2025 S Brannon\Nov","Steph amex debit 11-20-25.pdf","4244.42","4.14","11/21/2025 8:34:39 AM","11/21/2025 8:35:07 AM"
"F:\HomeDirs\PJarvis\Steph Reg.pdf","F:\HomeDirs\PJarvis","Steph Reg.pdf","186.41","0.18","11/21/2025 8:31:32 AM","10/3/2022 10:50:56 AM"
